identificacion,corte_mes,saldo
AXH5M6W00RW6A1MRV,1/31/2023,4489798
9Y4LCJDQLDU43LOK4,5/31/2023,4806867
KXDUI2BQC1ZQ25O4C,8/31/2024,702999
3QWPW0GFU2JIA5UE4,4/30/2023,3701126
GTLAUQABS3K1IHWCJ,11/30/2023,1172092
KCLWQ204AZ5D2W8QN,8/31/2024,5793179
83Y10YDW1OI06N9ZM,10/31/2023,6083902
RRS0030J6RHTUQ2RK,5/31/2023,5707757
VNTN2FOUQHBSVRLKZ,12/31/2023,6404138
NYD2J0FAEI05SQVAY,12/31/2023,4662727
QNCADSU9WB6X6JEXE,7/31/2024,6693101
XYYJ1CS2J4N0KXRG2,6/30/2023,5724937
PSRCQ6DW4S2N7175C,3/31/2024,4611065
HDTGP1H5F336COXZX,7/31/2023,4471381
Z8WH1L99SI8KI6NIV,10/31/2024,2583580
L8NOLOQ0MHSBXLPC8,5/31/2024,4445679
83Y10YDW1OI06N9ZM,6/30/2024,6018174
9NWFWJ38XN31WBFXG,12/31/2023,3283602
H9QCKG6XB01NQCZO9,12/31/2023,5908608
OJQZJBSXV2EELB04H,9/30/2023,1385283
U5I6FRV4Z2WTHAYXA,8/31/2024,5835890
ITDKGZGY3D1CQ22P4,7/31/2023,4223558
UXT0SVW2ICMQTZACJ,5/31/2023,1896637
VEYQK2P1HT4EDEU8Z,6/30/2023,6677691
A4JYPUIFCGXQSH8XL,5/31/2023,6014334
OCCKGZM8DIZCYX3CJ,1/31/2023,4840934
IGOQX9XYBSRDMOZXT,1/31/2023,597564
NDN0JWDWD4PJPHKO9,6/30/2023,5016467
5SKDNN35BDFYCRZ3T,10/31/2024,237513
7PLLCJPG8BTDR1ND3,7/31/2023,4600536
SUK8675QWKY38XUZB,3/31/2024,2592302
4HER62QO48L3HOLG6,2/29/2024,4277015
DJXLPRMY5ZZMANLU6,9/30/2023,1740102
PEYORPWSHOAUXOPB8,11/30/2024,4048512
E0P3U76BSR8JVOEAS,6/30/2023,2922125
RVDHIRC8T2IA2OUOW,8/31/2023,5852578
MGD1S17DROU71KI80,8/31/2024,4336630
4TL0TI5WAALM6P0AH,12/31/2023,4155328
Y9LTUSGD9M83VAB0I,7/31/2024,1418103
MGD1S17DROU71KI80,9/30/2023,5560957
VIOMZ3660T8XTY6RC,3/31/2024,4969263
83Y10YDW1OI06N9ZM,1/31/2024,4007037
VU97XYAGZZS7LOG4E,10/31/2023,2880212
NYD2J0FAEI05SQVAY,6/30/2023,1710059
I9WWI0Z0BQBBIKN76,3/31/2023,1770946
OBPVWFPY1GIGMACGG,8/31/2024,1118299
K4BAGGWMVBZXC8Z0R,10/31/2024,703179
DJXLPRMY5ZZMANLU6,4/30/2023,4633679
IC9TR053SOF1562RK,1/31/2023,1182358
AIQASN1W6XH7O9AI8,12/31/2023,1322201
UP8K03IYUM8HZ8NLC,6/30/2024,5567177
BOWGL6ZFJ8V4E620T,2/29/2024,863076
IHBDM8XWHP0LUZ7NR,7/31/2024,5327334
V2NG3GK779G8J7A0S,5/31/2023,607928
7MQU99ZO49YXI2EDE,5/31/2024,1461918
63FO2A0KBYVLDNRAA,5/31/2024,4445317
AXH5M6W00RW6A1MRV,9/30/2023,1425538
Y9LTUSGD9M83VAB0I,5/31/2023,6845657
6T645BU8TYM8VGXKO,12/31/2023,4626325
A4JYPUIFCGXQSH8XL,12/31/2023,5018047
4GM0V34SHZCQY338K,7/31/2024,3230671
KLRH1ZESF492S056H,7/31/2023,435908
6RNZ6V20ZBCHCCIPT,12/31/2024,1939308
D7UUQ6CP4DWYGZF0Z,1/31/2023,978278
977FYO2GIYKZOIEB6,2/29/2024,2941270
ZBRHGSC2D0501QLTX,1/31/2024,5631474
V1SRV6QGJWWC8JVW0,3/31/2024,3088948
FBMRRTAV36KC40D1Z,9/30/2023,5360504
7PLLCJPG8BTDR1ND3,11/30/2024,2998699
K4BAGGWMVBZXC8Z0R,11/30/2024,6804653
73LDIXZVJOQFRMHNZ,7/31/2023,5727076
15J0ZCH8C1O665RTF,1/31/2023,4748678
AERG7GPQIBQXOGOHX,2/28/2023,1013445
YVS0D5GU52ULP7YLI,6/30/2023,3941225
QNCADSU9WB6X6JEXE,9/30/2023,3351785
VZPJAHRX89B2CPA40,11/30/2024,6326148
1LFTDYT2H0I9ZG3S8,5/31/2023,3668660
G6R001Q73KLXUDPTV,11/30/2023,4446015
OCCKGZM8DIZCYX3CJ,8/31/2024,807951
OBPVWFPY1GIGMACGG,8/31/2023,2399194
XYYJ1CS2J4N0KXRG2,3/31/2024,5356869
LATSV8PKLN0G0XSCQ,8/31/2024,6384926
DWJ0GFUKS12L7Y0G9,1/31/2024,4157696
4M67RWDJ0PY180OMY,4/30/2023,1426181
977FYO2GIYKZOIEB6,8/31/2023,5106664
NYD2J0FAEI05SQVAY,7/31/2024,3624610
F5AUCVPQMIXFMLKNY,10/31/2024,965938
4HER62QO48L3HOLG6,6/30/2024,3834265
LYQEIHF686T8C6FUH,3/31/2024,6868516
K7OLAZQZTOKBXBQVR,2/28/2023,1046439
XT6P8GPRWDSJSYZKR,2/28/2023,6804066
Y9LTUSGD9M83VAB0I,4/30/2024,6675884
KCLWQ204AZ5D2W8QN,1/31/2023,356693
OQ5Y6DD3YNNZYDOK7,11/30/2023,5437249
EX2GMK7UHXBM6P2OW,11/30/2023,4658557
6N7C2M20A97S9IENG,1/31/2024,6588184
UXT0SVW2ICMQTZACJ,12/31/2023,2813639
H9QCKG6XB01NQCZO9,5/31/2023,1295247
9F27PNL29KIWUI8V1,4/30/2023,3608497
JTZWA92S5243CPZDG,2/29/2024,4457154
9IL03MCKH41ZX8EVC,1/31/2023,373044
L8NOLOQ0MHSBXLPC8,1/31/2023,2735479
R6XC1HPW2F2OYGFS2,6/30/2024,2906563
E0ZB60NF3G5K4VREU,10/31/2023,1244118
4GM0V34SHZCQY338K,10/31/2023,6934888
V4LNPTIOKCV53PIHE,5/31/2023,6986435
375WULANW2HVOVK5J,10/31/2023,6156088
FDS0N1SJL1R9K1IB4,11/30/2023,1599898
KVXACS7SB5O59ARQP,1/31/2024,5131460
6O996AT92IZ9926S5,11/30/2024,4720770
9F27PNL29KIWUI8V1,9/30/2024,1343649
FGGU9EADWBBLHKHYI,1/31/2023,2852758
OJQZJBSXV2EELB04H,9/30/2024,4303475
SUK8675QWKY38XUZB,2/28/2023,5391069
DWJ0GFUKS12L7Y0G9,6/30/2023,2933660
T16X6RLA2J523LYRZ,2/28/2023,1036130
V2NG3GK779G8J7A0S,8/31/2024,5583129
GFMBMLM8423RIAEDD,2/28/2023,4119713
OL2AN4Q8PF7T5DNJA,8/31/2023,3990928
I9WWI0Z0BQBBIKN76,6/30/2024,531746
XRD31U4F7GM99U92O,12/31/2024,1421888
6RNZ6V20ZBCHCCIPT,4/30/2024,2453535
A4LKAXWACFA995KE1,12/31/2023,1590069
KUD4O3VLEGN7O0D3B,5/31/2024,1425271
6N7C2M20A97S9IENG,4/30/2023,263950
VBCVVZPLR5KW0VKDX,2/28/2023,3921614
WLHSCECOGSRZSUK44,4/30/2023,4739182
E0ZB60NF3G5K4VREU,7/31/2024,5203791
QNCADSU9WB6X6JEXE,3/31/2024,2646343
7PLLCJPG8BTDR1ND3,4/30/2023,924182
F5AUCVPQMIXFMLKNY,1/31/2023,3294488
LYQEIHF686T8C6FUH,5/31/2024,5870077
6T645BU8TYM8VGXKO,3/31/2024,6745963
51UQ4XPBN39O7QIOO,1/31/2023,6966703
OJQZJBSXV2EELB04H,10/31/2023,764201
U01UYM0KLQO7ZMKXL,2/28/2023,6735749
7ZQT4ZSYX2JJH3BHK,10/31/2024,2407895
5CS7MKN5CCCZTYEH8,1/31/2023,4477559
OCCKGZM8DIZCYX3CJ,9/30/2023,3885345
OQ5Y6DD3YNNZYDOK7,6/30/2023,5557141
VEYQK2P1HT4EDEU8Z,12/31/2024,5554672
FXIQJ8T0RNKU5YYZL,4/30/2024,2514923
6N7C2M20A97S9IENG,6/30/2023,3090871
GFMBMLM8423RIAEDD,9/30/2023,804776
Z4HM8TL716AK8U17L,9/30/2023,1067483
RVDHIRC8T2IA2OUOW,5/31/2024,5924371
DLRDFJ40BGVP9H10W,10/31/2024,970344
V2NG3GK779G8J7A0S,6/30/2023,6951364
5SKDNN35BDFYCRZ3T,3/31/2023,1656746
9F27PNL29KIWUI8V1,8/31/2024,5326111
4M67RWDJ0PY180OMY,8/31/2023,1117539
E0ZB60NF3G5K4VREU,1/31/2024,451731
UOHQ6DHPAN7V486JH,7/31/2023,1116770
KCLWQ204AZ5D2W8QN,2/29/2024,2448105
VIOMZ3660T8XTY6RC,8/31/2024,5783930
7ZQT4ZSYX2JJH3BHK,7/31/2023,6962470
4GM0V34SHZCQY338K,10/31/2024,2038328
GFMBMLM8423RIAEDD,7/31/2023,3672769
0TTW5R9RRCJ0A9E5F,10/31/2024,992299
PQHMTD7TS2Q7AM9C6,3/31/2024,848327
RVDHIRC8T2IA2OUOW,5/31/2023,5157681
OBPVWFPY1GIGMACGG,12/31/2023,4489447
IGOQX9XYBSRDMOZXT,7/31/2023,6440379
R7Q4Z9AULIORDJQ9D,1/31/2024,3110517
A4JYPUIFCGXQSH8XL,11/30/2023,576597
3QWPW0GFU2JIA5UE4,1/31/2024,5918502
F5AUCVPQMIXFMLKNY,7/31/2024,5363345
KIULTEGOP4LWPVDNF,6/30/2024,4488942
FA2OC6FGIMI4S37PU,11/30/2024,815818
X4YOXMSTBUXXCUOGK,9/30/2023,1420115
LMHCV45KAJNLAV6CI,9/30/2024,1176285
AXH5M6W00RW6A1MRV,8/31/2024,161374
DLRDFJ40BGVP9H10W,4/30/2023,1620653
9F27PNL29KIWUI8V1,12/31/2024,5357559
9NWFWJ38XN31WBFXG,5/31/2023,1994283
OQ5Y6DD3YNNZYDOK7,8/31/2023,3306924
LYQEIHF686T8C6FUH,2/29/2024,5608669
U5I6FRV4Z2WTHAYXA,6/30/2023,6901773
DWJ0GFUKS12L7Y0G9,2/28/2023,200124
GTLAUQABS3K1IHWCJ,8/31/2024,3450009
Y6PZ8ICUVSNUUVGC6,8/31/2024,1125108
HDTGP1H5F336COXZX,10/31/2024,6657395
OEZ236PKMC6MBM3TB,10/31/2024,2121699
U01UYM0KLQO7ZMKXL,5/31/2023,2106373
GFMBMLM8423RIAEDD,1/31/2024,4521655
0TQ17VI65FDDKT227,6/30/2024,4917571
XT6P8GPRWDSJSYZKR,1/31/2024,2872483
9G2XZ3XNAY7J6KTJN,7/31/2023,555602
6T645BU8TYM8VGXKO,4/30/2024,4849782
THJ9OBJH3W6ANRCMS,2/29/2024,6436430
MUIZHHC8NUPU3856X,5/31/2023,1942290
8JB7CPERPX344FYNY,1/31/2024,5509910
51UQ4XPBN39O7QIOO,11/30/2023,1139479
THJ9OBJH3W6ANRCMS,4/30/2023,3421599
G6R001Q73KLXUDPTV,1/31/2024,5605090
Z4HM8TL716AK8U17L,9/30/2024,2254752
Y6PZ8ICUVSNUUVGC6,7/31/2024,5002215
Y144TELK1D0Z0KLVV,2/28/2023,3628537
15J0ZCH8C1O665RTF,4/30/2024,3438753
XT6P8GPRWDSJSYZKR,7/31/2023,6459790
FDS0N1SJL1R9K1IB4,10/31/2023,1817138
FXIQJ8T0RNKU5YYZL,6/30/2023,1717212
DLRDFJ40BGVP9H10W,1/31/2023,618659
IAXUMLO4Y4HXEEHHC,8/31/2024,4207599
FBMRRTAV36KC40D1Z,6/30/2023,3629641
DWJ0GFUKS12L7Y0G9,1/31/2023,3901650
Y9LTUSGD9M83VAB0I,11/30/2024,5108549
LYQEIHF686T8C6FUH,4/30/2024,3412661
ORSVN3W6R6KI4L6K7,7/31/2023,3527336
BJSA6PK9IP3QNY0GU,8/31/2023,3868113
A4LKAXWACFA995KE1,4/30/2024,5970775
LMHCV45KAJNLAV6CI,2/29/2024,5491139
V4LNPTIOKCV53PIHE,5/31/2024,6292761
OJQZJBSXV2EELB04H,8/31/2023,4537070
KVXACS7SB5O59ARQP,12/31/2023,6320045
LYQEIHF686T8C6FUH,8/31/2024,6955057
1MFXZRYV4MFOBXIAJ,10/31/2023,6336687
VNTN2FOUQHBSVRLKZ,5/31/2024,4488661
9IL03MCKH41ZX8EVC,5/31/2024,4142779
1MFXZRYV4MFOBXIAJ,3/31/2024,1979831
FXIQJ8T0RNKU5YYZL,1/31/2024,6446394
V4LNPTIOKCV53PIHE,7/31/2023,5567445
MHREEFELDOONUMCHP,6/30/2024,3292420
4HER62QO48L3HOLG6,3/31/2023,3260930
AIQASN1W6XH7O9AI8,7/31/2024,4993138
UXT0SVW2ICMQTZACJ,11/30/2024,6356741
VIOMZ3660T8XTY6RC,9/30/2024,523539
FBMRRTAV36KC40D1Z,4/30/2024,1447097
LMHCV45KAJNLAV6CI,12/31/2023,4216444
FBMRRTAV36KC40D1Z,9/30/2024,6551535
FQJP2PBU50DG45YX3,6/30/2024,656366
IC9TR053SOF1562RK,12/31/2023,635943
XYYJ1CS2J4N0KXRG2,12/31/2024,1292756
83Y10YDW1OI06N9ZM,8/31/2024,5059722
375WULANW2HVOVK5J,3/31/2023,3645986
BQLAQGMLUN5Y6VU3U,7/31/2023,3388774
OCCKGZM8DIZCYX3CJ,3/31/2024,4706506
K4BAGGWMVBZXC8Z0R,7/31/2023,2984591
977FYO2GIYKZOIEB6,8/31/2024,4617662
IGOQX9XYBSRDMOZXT,10/31/2024,5688013
V1SRV6QGJWWC8JVW0,2/29/2024,5059409
MGD1S17DROU71KI80,4/30/2024,4551065
K4BAGGWMVBZXC8Z0R,1/31/2023,4870695
GFMBMLM8423RIAEDD,10/31/2023,2051645
RRS0030J6RHTUQ2RK,9/30/2024,2845033
XYYJ1CS2J4N0KXRG2,7/31/2023,6508960
KIULTEGOP4LWPVDNF,10/31/2023,5574022
VU97XYAGZZS7LOG4E,12/31/2023,5464138
ORSVN3W6R6KI4L6K7,8/31/2023,6463497
7MQU99ZO49YXI2EDE,1/31/2024,6891937
H9QCKG6XB01NQCZO9,3/31/2023,2039351
WI9LBMXJ0YIBEJ357,12/31/2023,2204389
9IL03MCKH41ZX8EVC,1/31/2024,725679
BJSA6PK9IP3QNY0GU,4/30/2023,6043770
THJ9OBJH3W6ANRCMS,11/30/2023,2959641
ZBRHGSC2D0501QLTX,12/31/2023,3039
H9QCKG6XB01NQCZO9,10/31/2023,4566124
KVXACS7SB5O59ARQP,3/31/2023,4516923
9DQS2WEXYFKHTNXUB,6/30/2024,777236
IGOQX9XYBSRDMOZXT,6/30/2023,148659
E0P3U76BSR8JVOEAS,12/31/2024,2981164
G6R001Q73KLXUDPTV,6/30/2024,2144817
0TTW5R9RRCJ0A9E5F,3/31/2024,2068512
8JB7CPERPX344FYNY,12/31/2024,2525065
RVDHIRC8T2IA2OUOW,1/31/2024,2415155
BQLAQGMLUN5Y6VU3U,10/31/2023,1938767
IAXUMLO4Y4HXEEHHC,8/31/2023,2725829
ORSVN3W6R6KI4L6K7,2/28/2023,2334454
Y9LTUSGD9M83VAB0I,9/30/2024,3370616
J899WRG0VOOF1WON0,6/30/2024,5790475
PEYORPWSHOAUXOPB8,11/30/2023,2207465
L8NOLOQ0MHSBXLPC8,9/30/2023,2223639
K2DBNBQ09G1QCCD7W,5/31/2024,5631541
ZBRHGSC2D0501QLTX,4/30/2024,4590795
5VVHS1PF81H0K03QN,6/30/2024,5871239
VIOMZ3660T8XTY6RC,2/29/2024,4046848
DJXLPRMY5ZZMANLU6,10/31/2023,5584607
PQHMTD7TS2Q7AM9C6,4/30/2024,4958329
51UQ4XPBN39O7QIOO,9/30/2023,2258237
WLHSCECOGSRZSUK44,11/30/2023,2883450
7MQU99ZO49YXI2EDE,3/31/2024,2328240
9IL03MCKH41ZX8EVC,4/30/2023,6941723
PSRCQ6DW4S2N7175C,8/31/2024,248597
OQ5Y6DD3YNNZYDOK7,2/29/2024,2253252
83Y10YDW1OI06N9ZM,5/31/2023,4012110
XT6P8GPRWDSJSYZKR,11/30/2023,5860459
T16X6RLA2J523LYRZ,10/31/2024,6913323
XRD31U4F7GM99U92O,4/30/2024,3288427
LYQEIHF686T8C6FUH,6/30/2024,6333221
LYQEIHF686T8C6FUH,9/30/2024,6151197
977FYO2GIYKZOIEB6,1/31/2023,5112246
1LFTDYT2H0I9ZG3S8,2/29/2024,3496332
5CS7MKN5CCCZTYEH8,4/30/2023,185500
9F27PNL29KIWUI8V1,6/30/2024,4675003
UXT0SVW2ICMQTZACJ,11/30/2023,4846762
63FO2A0KBYVLDNRAA,8/31/2023,1113759
LYQEIHF686T8C6FUH,9/30/2023,5296191
X4YOXMSTBUXXCUOGK,5/31/2023,5535515
KIULTEGOP4LWPVDNF,4/30/2024,1632921
V2NG3GK779G8J7A0S,10/31/2023,6260144
D0HW4TD0CUW9XJQPX,6/30/2024,3637526
NYD2J0FAEI05SQVAY,1/31/2023,3179457
6RNZ6V20ZBCHCCIPT,5/31/2024,4017697
6RNZ6V20ZBCHCCIPT,1/31/2023,1436179
DJXLPRMY5ZZMANLU6,9/30/2024,5355148
6N7C2M20A97S9IENG,1/31/2023,1650543
AXH5M6W00RW6A1MRV,6/30/2024,3112924
4TL0TI5WAALM6P0AH,6/30/2024,6382008
BOWGL6ZFJ8V4E620T,2/28/2023,3677270
MHREEFELDOONUMCHP,5/31/2024,3760266
R6XC1HPW2F2OYGFS2,2/28/2023,5070946
0TTW5R9RRCJ0A9E5F,10/31/2023,2413195
GFMBMLM8423RIAEDD,2/29/2024,3555524
HDTGP1H5F336COXZX,9/30/2024,1699311
Y9LTUSGD9M83VAB0I,2/29/2024,1739282
SSP73CDZATG8LX9V1,6/30/2023,4105385
V4LNPTIOKCV53PIHE,3/31/2024,4593499
FDS0N1SJL1R9K1IB4,12/31/2024,6818697
ITDKGZGY3D1CQ22P4,1/31/2023,1827670
SKH4GHZSBWP3QGNNK,2/28/2023,4112322
MGD1S17DROU71KI80,2/29/2024,705007
BJSA6PK9IP3QNY0GU,12/31/2024,890403
7AQPGU50TED28A7G6,5/31/2023,6969785
AIQASN1W6XH7O9AI8,5/31/2024,6410852
9G2XZ3XNAY7J6KTJN,2/29/2024,5912774
VHX791SAUG7W7R63P,4/30/2023,6777865
MGD1S17DROU71KI80,11/30/2024,5396650
OQ5Y6DD3YNNZYDOK7,3/31/2024,6047930
U01UYM0KLQO7ZMKXL,4/30/2024,3277160
R7Q4Z9AULIORDJQ9D,9/30/2023,932058
V2NG3GK779G8J7A0S,1/31/2023,1668668
GFMBMLM8423RIAEDD,9/30/2024,1726718
